Year,ticket_geo_region_name,Prof_type,Distribution
2019,Bayern,Hochzeitscatering,NA
2019,Bayern,Hochzeitstorte,0.37
2019,Bayern,Dekorateur für Hochzeiten,0.21
2019,Bayern,Hochzeitsfotograf,0.11
2019,Bayern,Tanzkurs,0.02
2019,Bayern,Musiker für Hochzeit,0.07
2019,Berlin,Braut Make Up,0.05
2019,Berlin,Blumen Hochzeit,0.12
2019,Berlin,Hochzeitsringe,0.08
2019,Berlin,Hochzeitscatering,NA
2019,Berlin,Hochzeitstorte,0.37
2019,Berlin,Dekorateur für Hochzeiten,0.21
2019,Berlin,Hochzeitsfotograf,0.12
2019,Berlin,Tanzkurs,NA
2019,Berlin,Musiker für Hochzeit,0.05
2019,Brandenburg,Tanzkurs,0.6
2019,Brandenburg,Hochzeitstorte,0.17
2019,Brandenburg,Musiker für Hochzeit,NA
2019,Brandenburg,Hochzeitsringe,0.23
2019,Brandenburg,Dekorateur für Hochzeiten,NA
2019,Bremen,Braut Make Up,0.06
2019,Bremen,Blumen Hochzeit,0.16
2019,Bremen,Hochzeitsringe,0.11
2019,Bremen,Hochzeitscatering,NA
2019,Bremen,Hochzeitstorte,0.25
2019,Bremen,Dekorateur für Hochzeiten,0.18
2019,Bremen,Hochzeitsfotograf,0.23
2019,Bremen,Tanzkurs,NA
2019,Bremen,Musiker für Hochzeit,NA
2019,Deutschland,Braut Make Up,0.05
2019,Deutschland,Blumen Hochzeit,0.12
2019,Deutschland,Hochzeitsringe,0.08
2019,Deutschland,Hochzeitscatering,NA
2019,Deutschland,Hochzeitstorte,0.37
2019,Deutschland,Dekorateur für Hochzeiten,0.21
2019,Deutschland,Hochzeitsfotograf,0.1
2019,Deutschland,Tanzkurs,0.01
2019,Deutschland,Musiker für Hochzeit,0.06
2019,Hamburg,Braut Make Up,0.05
2019,Hamburg,Blumen Hochzeit,0.14
2019,Hamburg,Hochzeitsringe,0.09
2019,Hamburg,Hochzeitscatering,NA
2019,Hamburg,Hochzeitstorte,0.39
2019,Hamburg,Dekorateur für Hochzeiten,0.19
2019,Hamburg,Hochzeitsfotograf,0.12
2019,Hamburg,Tanzkurs,NA
2019,Hamburg,Musiker für Hochzeit,NA
2019,Hessen,Braut Make Up,0.03
2019,Hessen,Blumen Hochzeit,0.09
2019,Hessen,Hochzeitsringe,0.06
2019,Hessen,Hochzeitscatering,NA
2019,Hessen,Hochzeitstorte,0.41
2019,Hessen,Dekorateur für Hochzeiten,0.23
2019,Hessen,Hochzeitsfotograf,0.09
2019,Hessen,Tanzkurs,NA
2019,Hessen,Musiker für Hochzeit,0.09
2019,Niedersachsen,Braut Make Up,0.06
2019,Niedersachsen,Blumen Hochzeit,0.13
2019,Niedersachsen,Hochzeitsringe,0.06
2019,Niedersachsen,Hochzeitscatering,NA
2019,Niedersachsen,Hochzeitstorte,0.34
2019,Niedersachsen,Dekorateur für Hochzeiten,0.21
2019,Niedersachsen,Hochzeitsfotograf,0.15
2019,Niedersachsen,Tanzkurs,NA
2019,Niedersachsen,Musiker für Hochzeit,0.07
2019,Mecklenburg-Vorpommern,Tanzkurs,NA
2019,Mecklenburg-Vorpommern,Hochzeitsfotograf,NA
2019,Mecklenburg-Vorpommern,Dekorateur für Hochzeiten,0.12
2019,Mecklenburg-Vorpommern,Musiker für Hochzeit,NA
2019,Nordrhein-Westfalen,Braut Make Up,0.04
2019,Nordrhein-Westfalen,Blumen Hochzeit,0.1
2019,Nordrhein-Westfalen,Hochzeitsringe,0.07
2019,Nordrhein-Westfalen,Hochzeitscatering,NA
2019,Nordrhein-Westfalen,Hochzeitstorte,0.38
2019,Nordrhein-Westfalen,Dekorateur für Hochzeiten,0.22
2019,Nordrhein-Westfalen,Hochzeitsfotograf,0.12
2019,Nordrhein-Westfalen,Tanzkurs,0.01
2019,Nordrhein-Westfalen,Musiker für Hochzeit,0.06
2019,Rheinland-Pfalz,Braut Make Up,0.07
2019,Rheinland-Pfalz,Blumen Hochzeit,0.17
2019,Rheinland-Pfalz,Hochzeitsringe,0.12
2019,Rheinland-Pfalz,Hochzeitscatering,NA
2019,Rheinland-Pfalz,Hochzeitstorte,0.36
2019,Rheinland-Pfalz,Dekorateur für Hochzeiten,0.19
2019,Rheinland-Pfalz,Hochzeitsfotograf,0.05
2019,Rheinland-Pfalz,Tanzkurs,NA
2019,Rheinland-Pfalz,Musiker für Hochzeit,0.05
2019,Saarland,Braut Make Up,0.07
2019,Saarland,Blumen Hochzeit,0.17
2019,Saarland,Hochzeitsringe,0.11
2019,Saarland,Hochzeitscatering,NA
2019,Saarland,Hochzeitstorte,0.35
2019,Saarland,Dekorateur für Hochzeiten,0.17
2019,Saarland,Hochzeitsfotograf,0.13
2019,Saarland,Tanzkurs,NA
2019,Saarland,Musiker für Hochzeit,NA
2019,Sachsen,Hochzeitstorte,0.03
2019,Sachsen,Tanzkurs,NA
2019,Sachsen,Musiker für Hochzeit,0.2
2019,Sachsen,Dekorateur für Hochzeiten,0.52
2019,Sachsen,Hochzeitsfotograf,0.25
2019,Sachsen-Anhalt,Tanzkurs,0.03
2019,Sachsen-Anhalt,Musiker für Hochzeit,0.15
2019,Sachsen-Anhalt,Dekorateur für Hochzeiten,0.1
2019,Sachsen-Anhalt,Hochzeitsfotograf,NA
2019,Schleswig-Holstein,Tanzkurs,0.1
2019,Schleswig-Holstein,Musiker für Hochzeit,0.21
2019,Schleswig-Holstein,Dekorateur für Hochzeiten,0.09
2019,Schleswig-Holstein,Hochzeitsfotograf,NA
2019,Thüringen,Tanzkurs,NA
2019,Thüringen,Hochzeitsfotograf,0.1
2019,Thüringen,Dekorateur für Hochzeiten,0.1
2019,Thüringen,Musiker für Hochzeit,NA
2020,Baden-Württemberg,Braut Make Up,0.04
2020,Baden-Württemberg,Blumen Hochzeit,0.12
2020,Baden-Württemberg,Hochzeitsringe,0.05
2020,Baden-Württemberg,Hochzeitscatering,NA
2020,Baden-Württemberg,Hochzeitstorte,0.38
2020,Baden-Württemberg,Dekorateur für Hochzeiten,0.23
2020,Baden-Württemberg,Hochzeitsfotograf,0.08
2020,Baden-Württemberg,Tanzkurs,0.03
2020,Baden-Württemberg,Musiker für Hochzeit,0.07
2020,Bayern,Braut Make Up,0.04
2020,Bayern,Blumen Hochzeit,0.12
2020,Bayern,Hochzeitsringe,0.06
2020,Bayern,Hochzeitscatering,NA
2020,Bayern,Hochzeitstorte,0.43
2020,Bayern,Dekorateur für Hochzeiten,0.16
2020,Bayern,Hochzeitsfotograf,0.1
2020,Bayern,Tanzkurs,0.01
2020,Bayern,Musiker für Hochzeit,0.07
2020,Berlin,Braut Make Up,0.05
2020,Berlin,Blumen Hochzeit,0.15
2020,Berlin,Hochzeitsringe,0.07
2020,Berlin,Hochzeitscatering,NA
2020,Berlin,Hochzeitstorte,0.33
2020,Berlin,Dekorateur für Hochzeiten,0.29
2020,Berlin,Hochzeitsfotograf,0.07
2020,Berlin,Tanzkurs,NA
2020,Berlin,Musiker für Hochzeit,0.05
2020,Brandenburg,Tanzkurs,0.61
2020,Brandenburg,Hochzeitstorte,0.13
2020,Brandenburg,Musiker für Hochzeit,NA
2020,Brandenburg,Hochzeitsringe,0.26
2020,Brandenburg,Dekorateur für Hochzeiten,NA
2020,Bremen,Braut Make Up,0.09
2020,Bremen,Blumen Hochzeit,0.27
2020,Bremen,Hochzeitsringe,0.13
2020,Bremen,Hochzeitscatering,NA
2020,Bremen,Hochzeitstorte,0.38
2020,Bremen,Dekorateur für Hochzeiten,0.13
2020,Bremen,Hochzeitsfotograf,NA
2020,Bremen,Tanzkurs,NA
2020,Bremen,Musiker für Hochzeit,NA
2020,Deutschland,Braut Make Up,0.05
2020,Deutschland,Blumen Hochzeit,0.14
2020,Deutschland,Hochzeitsringe,0.06
2020,Deutschland,Hochzeitscatering,NA
2020,Deutschland,Hochzeitstorte,0.41
2020,Deutschland,Dekorateur für Hochzeiten,0.2
2020,Deutschland,Hochzeitsfotograf,0.08
2020,Deutschland,Tanzkurs,0.01
2020,Deutschland,Musiker für Hochzeit,0.05
2020,Hamburg,Braut Make Up,0.06
2020,Hamburg,Blumen Hochzeit,0.17
2020,Hamburg,Hochzeitsringe,0.08
2020,Hamburg,Hochzeitscatering,NA
2020,Hamburg,Hochzeitstorte,0.41
2020,Hamburg,Dekorateur für Hochzeiten,0.22
2020,Hamburg,Hochzeitsfotograf,0.05
2020,Hamburg,Tanzkurs,NA
2020,Hamburg,Musiker für Hochzeit,NA
2020,Hessen,Braut Make Up,0.03
2020,Hessen,Blumen Hochzeit,0.09
2020,Hessen,Hochzeitsringe,0.04
2020,Hessen,Hochzeitscatering,NA
2020,Hessen,Hochzeitstorte,0.4
2020,Hessen,Dekorateur für Hochzeiten,0.29
2020,Hessen,Hochzeitsfotograf,0.09
2020,Hessen,Tanzkurs,NA
2020,Hessen,Musiker für Hochzeit,0.05
2020,Niedersachsen,Braut Make Up,0.08
2020,Niedersachsen,Blumen Hochzeit,0.09
2020,Niedersachsen,Hochzeitsringe,0.06
2020,Niedersachsen,Hochzeitscatering,NA
2020,Niedersachsen,Hochzeitstorte,0.42
2020,Niedersachsen,Dekorateur für Hochzeiten,0.16
2020,Niedersachsen,Hochzeitsfotograf,0.1
2020,Niedersachsen,Tanzkurs,NA
2020,Niedersachsen,Musiker für Hochzeit,0.09
2020,Mecklenburg-Vorpommern,4,0.88
2020,Mecklenburg-Vorpommern,Tanzkurs,NA
2020,Mecklenburg-Vorpommern,Hochzeitsfotograf,NA
2020,Mecklenburg-Vorpommern,Dekorateur für Hochzeiten,0.12
2020,Mecklenburg-Vorpommern,Musiker für Hochzeit,NA
2020,Nordrhein-Westfalen,Braut Make Up,0.04
2020,Nordrhein-Westfalen,Blumen Hochzeit,0.12
2020,Nordrhein-Westfalen,Hochzeitsringe,0.05
2020,Nordrhein-Westfalen,Hochzeitscatering,NA
2020,Nordrhein-Westfalen,Hochzeitstorte,0.4
2020,Nordrhein-Westfalen,Dekorateur für Hochzeiten,0.22
2020,Nordrhein-Westfalen,Hochzeitsfotograf,0.1
2020,Nordrhein-Westfalen,Tanzkurs,0.01
2020,Nordrhein-Westfalen,Musiker für Hochzeit,0.05
2020,Rheinland-Pfalz,Braut Make Up,0.06
2020,Rheinland-Pfalz,Blumen Hochzeit,0.17
2020,Rheinland-Pfalz,Hochzeitsringe,0.08
2020,Rheinland-Pfalz,Hochzeitscatering,NA
2020,Rheinland-Pfalz,Hochzeitstorte,0.42
2020,Rheinland-Pfalz,Dekorateur für Hochzeiten,0.17
2020,Rheinland-Pfalz,Hochzeitsfotograf,0.08
2020,Rheinland-Pfalz,Tanzkurs,NA
2020,Rheinland-Pfalz,Musiker für Hochzeit,0.02
2020,Saarland,Braut Make Up,0.07
2020,Saarland,Blumen Hochzeit,0.2
2020,Saarland,Hochzeitsringe,0.09
2020,Saarland,Hochzeitscatering,NA
2020,Saarland,Hochzeitstorte,0.28
2020,Saarland,Dekorateur für Hochzeiten,0.26
2020,Saarland,Hochzeitsfotograf,0.1
2020,Saarland,Tanzkurs,NA
2020,Saarland,Musiker für Hochzeit,NA
2020,Sachsen,Hochzeitstorte,0.01
2020,Sachsen,Tanzkurs,NA
2020,Sachsen,Musiker für Hochzeit,0.14
2020,Sachsen,Dekorateur für Hochzeiten,0.67
2020,Sachsen,Hochzeitsfotograf,0.17
2020,Sachsen-Anhalt,Tanzkurs,0.11
2020,Sachsen-Anhalt,Musiker für Hochzeit,0.2
2020,Sachsen-Anhalt,Dekorateur für Hochzeiten,0.23
2020,Sachsen-Anhalt,Hochzeitsfotograf,NA
2020,Schleswig-Holstein,Tanzkurs,0.17
2020,Schleswig-Holstein,Musiker für Hochzeit,0.15
2020,Schleswig-Holstein,Dekorateur für Hochzeiten,0.07
2020,Schleswig-Holstein,Hochzeitsfotograf,NA
2020,Thüringen,Tanzkurs,NA
2020,Thüringen,Hochzeitsfotograf,0.14
2020,Thüringen,Dekorateur für Hochzeiten,0.21
2020,Thüringen,Musiker für Hochzeit,NA
